,"unpruned, random","unpruned, min_fill","unpruned, min_degree","pruned, random","pruned, min_fill","pruned, min_degree"
0,0.384096622467041,0.49648046493530273,0.41171693801879883,0.0485529899597168,0.03285408020019531,0.031244516372680664
1,0.400470495223999,0.5027527809143066,0.48085904121398926,0.0347139835357666,0.03329730033874512,0.04689335823059082
2,0.44841980934143066,0.4315528869628906,0.4703547954559326,0.03387141227722168,0.033669233322143555,0.031249046325683594
3,0.436525821685791,0.45126962661743164,0.4458029270172119,0.03893280029296875,0.031325578689575195,0.0468287467956543
4,0.46411752700805664,0.4338536262512207,0.428882360458374,0.03587007522583008,0.04498410224914551,0.031275033950805664
5,0.45168137550354004,0.4251515865325928,0.4389517307281494,0.036936044692993164,0.03290891647338867,0.031241893768310547
6,0.4498145580291748,0.4658346176147461,0.44756555557250977,0.03590083122253418,0.031923532485961914,0.03148961067199707
7,0.4338822364807129,0.4657557010650635,0.45328211784362793,0.036397695541381836,0.024706363677978516,0.04687047004699707
8,0.46492838859558105,0.46452760696411133,0.41805315017700195,0.0329442024230957,0.03124237060546875,0.038898468017578125
9,0.4611995220184326,0.451801061630249,0.45002317428588867,0.03091120719909668,0.03124690055847168,0.033490896224975586
10,0.4387013912200928,0.5059683322906494,0.46045756340026855,0.03388190269470215,0.031238555908203125,0.03436088562011719
11,0.5491716861724854,0.46379995346069336,0.43597888946533203,0.03191494941711426,0.031244993209838867,0.03463625907897949
12,0.5374300479888916,0.4793670177459717,0.41884517669677734,0.03094959259033203,0.040221214294433594,0.03333115577697754
13,0.5351858139038086,0.4771454334259033,0.43344974517822266,0.029920101165771484,0.017790555953979492,0.0418245792388916
14,0.44536828994750977,0.4389503002166748,0.4998481273651123,0.03088212013244629,0.05311298370361328,0.04092717170715332
15,0.45587658882141113,0.5278005599975586,0.4808170795440674,0.03693819046020508,0.03291058540344238,0.07512378692626953
16,0.4499657154083252,0.49367833137512207,0.43709301948547363,0.032294273376464844,0.031949520111083984,0.04587411880493164
17,0.4748852252960205,0.4293529987335205,0.4375307559967041,0.03611397743225098,0.03291511535644531,0.044881343841552734
18,0.4557478427886963,0.4359743595123291,0.4465787410736084,0.037282705307006836,0.031911373138427734,0.037897586822509766
19,0.47173428535461426,0.4237520694732666,0.4306626319885254,0.031638145446777344,0.03390622138977051,0.026657819747924805
20,0.49013781547546387,0.40038537979125977,0.4439404010772705,0.03613567352294922,0.03191709518432617,0.0455629825592041
21,0.4969651699066162,0.4358811378479004,0.43710780143737793,0.03333783149719238,0.03391075134277344,0.03641676902770996
22,0.4519648551940918,0.41495537757873535,0.4080634117126465,0.03464150428771973,0.032907962799072266,0.04335379600524902
23,0.45722150802612305,0.46033811569213867,0.4250609874725342,0.03304004669189453,0.03207874298095703,0.04185295104980469
